iter	MultiClass
0	0.8252671448
1	0.7232808191
2	0.6713905911
3	0.6434589198
4	0.6280987186
5	0.6196535147
6	0.6150991715
7	0.6125841758
8	0.6111408709
9	0.6103459035
10	0.6099399266
11	0.609797324
12	0.6097377591
13	0.6083312754
14	0.6081737553
15	0.6081673436
16	0.6080839758
17	0.6079302676
18	0.6079300443
19	0.6076684169
20	0.6075430152
21	0.6071153009
22	0.6065306346
23	0.6061111328
24	0.6061110085
25	0.6057344039
26	0.6053880299
27	0.6053879305
28	0.6042596073
29	0.6036516787
30	0.6019025146
31	0.6001477636
32	0.5993628018
33	0.5963485124
34	0.5943389629
35	0.5921904626
36	0.5909674299
37	0.5901991756
38	0.5882129942
39	0.5870509065
40	0.5862081653
41	0.5853948213
42	0.5849422051
43	0.5843896887
44	0.583468859
45	0.582812864
46	0.5820406205
47	0.5817725255
48	0.5799188339
49	0.5780952293
50	0.5773073473
51	0.5767149902
52	0.5761137637
53	0.5754840278
54	0.5733794494
55	0.5719138068
56	0.5714184274
57	0.5702127977
58	0.569643924
59	0.5691338052
60	0.5678751899
61	0.5676444892
62	0.5670222209
63	0.5659264894
64	0.5649589515
65	0.5643448435
66	0.5631678286
67	0.5624092448
68	0.5608705433
69	0.560412146
70	0.5597005649
71	0.5584770435
72	0.5578029099
73	0.5573060855
74	0.5568445001
75	0.5550762571
76	0.554662551
77	0.5544061429
78	0.5536069988
79	0.552986324
80	0.5528462501
81	0.5517849719
82	0.5510865815
83	0.550258155
84	0.547602093
85	0.5469768661
86	0.5462171583
87	0.5456927137
88	0.5448982164
89	0.5447109245
90	0.5428060865
91	0.5419936613
92	0.5411521909
93	0.5407947259
94	0.5398812114
95	0.5384647113
96	0.5371093882
97	0.5359532025
98	0.5348215271
