iter	MultiClass
0	0.8243504941
1	0.7214330995
2	0.6703769637
3	0.6430218976
4	0.6280501668
5	0.6197115577
6	0.614836229
7	0.6125203568
8	0.6109695495
9	0.610045946
10	0.6097652715
11	0.6088428936
12	0.6087476199
13	0.6082120801
14	0.6081558052
15	0.6079787818
16	0.6076396252
17	0.6065327241
18	0.6045194969
19	0.6044272966
20	0.6044132662
21	0.6029858643
22	0.6024261845
23	0.6024261151
24	0.6014678844
25	0.6011464306
26	0.6006935758
27	0.6002428608
28	0.5998559361
29	0.5998006356
30	0.598944648
31	0.59844688
32	0.5973968266
33	0.5963269603
34	0.5950719937
35	0.5941840784
36	0.5939387203
37	0.5924220184
38	0.5911726501
39	0.5885358987
40	0.587728082
41	0.5872459091
42	0.585991938
43	0.5842465121
44	0.5830947734
45	0.5821690534
46	0.5807748509
47	0.5786034168
48	0.5779663519
49	0.5772237319
50	0.5767404204
51	0.5756417343
52	0.5751317876
53	0.5728558836
54	0.5724979123
55	0.5714008709
56	0.5702300483
57	0.5696251266
58	0.5688292925
59	0.568388405
60	0.5670944564
61	0.56538127
62	0.5641616297
63	0.5638470857
64	0.5627540332
65	0.5622547501
66	0.5617357919
67	0.5612548401
68	0.5604480017
69	0.560092415
70	0.5588520807
71	0.5576263586
72	0.5568269294
73	0.5554227774
74	0.5542310538
75	0.5524975384
76	0.550967334
77	0.5506532757
78	0.5501459354
79	0.5491479556
80	0.5481620856
81	0.5466901208
82	0.5459381112
83	0.5454006033
84	0.5449351841
85	0.5438039555
86	0.5420377122
87	0.5415750453
88	0.5407181523
89	0.5390105321
90	0.5384172383
91	0.5377499744
92	0.5364483735
93	0.5360460296
94	0.5353768663
95	0.5350886643
96	0.5340701641
97	0.5332681545
98	0.5329908819
99	0.5325295029
100	0.532039598
101	0.5316334041
102	0.5313891422
103	0.5308845973
104	0.5294645503
105	0.5282702443
106	0.5272025603
107	0.5254781653
108	0.5251549304
109	0.5247189702
110	0.5240627566
111	0.5224613708
