iter	Passed	Remaining
0	44	44757
1	62	30991
2	69	23085
3	75	18767
4	86	17162
5	120	19892
6	141	20098
7	167	20768
8	222	24496
9	264	26210
10	284	25543
11	297	24459
12	309	23488
13	371	26146
14	393	25857
15	428	26356
16	455	26354
17	521	28477
18	591	30515
19	638	31284
20	661	30817
21	686	30535
22	753	32016
23	766	31181
24	832	32480
25	858	32153
26	907	32704
27	938	32585
28	1001	33518
29	1029	33289
30	1084	33906
31	1150	34794
32	1219	35736
33	1288	36603
34	1359	37479
35	1427	38223
36	1496	38949
37	1569	39726
38	1644	40521
39	1716	41199
40	1786	41776
41	1856	42350
42	1925	42846
43	1998	43416
44	2063	43800
45	2133	44241
46	2205	44726
47	2277	45173
48	2347	45559
49	2422	46023
50	2493	46390
51	2564	46746
52	2633	47050
53	2702	47343
54	2769	47592
55	2838	47841
56	2913	48201
57	2987	48520
58	3061	48826
59	3130	49041
60	3201	49277
61	3268	49456
62	3340	49689
63	3408	49854
64	3485	50130
65	3554	50300
66	3620	50413
67	3690	50579
68	3759	50728
69	3830	50896
70	3904	51082
71	3974	51223
72	4043	51346
73	4119	51554
74	4196	51762
75	4271	51932
76	4338	52007
77	4406	52091
78	4473	52149
79	4545	52278
80	4618	52396
81	4680	52394
82	4750	52483
83	4820	52566
84	4893	52675
85	4965	52767
86	5034	52831
87	5102	52879
88	5173	52952
89	5245	53042
90	5318	53125
91	5387	53175
92	5458	53236
93	5527	53277
94	5598	53330
95	5661	53314
96	5734	53386
97	5805	53434
98	5879	53509
99	5949	53542
100	6014	53531
101	6077	53505
102	6147	53538
103	6218	53574
104	6293	53641
105	6369	53720
106	6440	53752
107	6509	53765
108	6580	53787
109	6649	53798
110	6724	53857
111	6791	53848
