iter	Passed	Remaining
0	44	44317
1	62	31038
2	69	23167
3	75	18884
4	86	17272
5	128	21318
6	198	28218
7	240	29862
8	248	27375
9	271	26904
10	278	25050
11	284	23415
12	311	23648
13	338	23838
14	365	24026
15	378	23299
16	405	23449
17	412	22504
18	474	24507
19	492	24147
20	546	25488
21	571	25384
22	604	25662
23	670	27273
24	738	28792
25	770	28865
26	831	29978
27	849	29491
28	862	28874
29	923	29860
30	998	31197
31	1022	30920
32	1087	31868
33	1160	32971
34	1233	34015
35	1305	34968
36	1377	35840
37	1447	36643
38	1512	37278
39	1583	38009
40	1655	38715
41	1723	39306
42	1790	39843
43	1863	40488
44	1932	41008
45	2003	41551
46	2068	41936
47	2137	42398
48	2211	42918
49	2283	43395
50	2355	43832
51	2423	44176
52	2488	44461
53	2560	44849
54	2632	45224
55	2702	45554
56	2772	45872
57	2843	46182
58	2915	46495
59	2987	46806
60	3056	47047
61	3124	47273
62	3194	47511
63	3267	47786
64	3339	48041
65	3408	48232
66	3473	48365
67	3545	48592
68	3617	48813
69	3690	49036
70	3757	49165
71	3831	49388
72	3901	49544
73	3968	49662
74	4036	49778
75	4108	49946
76	4179	50105
77	4254	50290
78	4325	50429
79	4398	50587
80	4472	50744
81	4542	50852
82	4614	50983
83	4686	51110
84	4755	51191
85	4823	51264
86	4893	51348
87	4966	51469
88	5037	51560
89	5108	51652
90	5182	51767
91	5252	51839
92	5324	51926
93	5395	52001
94	5465	52066
95	5529	52071
96	5598	52116
97	5671	52197
98	5744	52282
99	5817	52359
100	5887	52406
